X0,ratio,X_final
0.1,3.5,0.0
0.15000000000000002,0.0,0.0
0.15000000000000002,0.0875,0.0
0.15000000000000002,0.175,0.0
0.15000000000000002,0.26249999999999996,0.0
0.15000000000000002,0.35,0.0
0.15000000000000002,0.4375,0.0
0.15000000000000002,0.5249999999999999,0.0
0.15000000000000002,0.6124999999999999,0.0
0.15000000000000002,0.7,0.0
0.15000000000000002,0.7875,0.0
0.15000000000000002,0.875,0.0
0.15000000000000002,0.9624999999999999,0.0
0.15000000000000002,1.0499999999999998,0.0
0.15000000000000002,1.1375,0.0
0.15000000000000002,1.2249999999999999,0.0
0.15000000000000002,1.3125,0.0
0.15000000000000002,1.4,0.0
0.15000000000000002,1.4874999999999998,0.0
0.15000000000000002,1.575,0.0
0.15000000000000002,1.6624999999999999,0.0
0.15000000000000002,1.75,0.0
0.15000000000000002,1.8375,0.0
0.15000000000000002,1.9249999999999998,0.0
0.15000000000000002,2.0124999999999997,0.0016666666666666668
0.15000000000000002,2.0999999999999996,0.0
0.15000000000000002,2.1875,0.0
0.15000000000000002,2.275,0.0014583333333333334
0.15000000000000002,2.3625,0.0
0.15000000000000002,2.4499999999999997,0.0
0.15000000000000002,2.5374999999999996,0.0008333333333333334
0.15000000000000002,2.625,0.06395833333333334
0.15000000000000002,2.7125,0.0
0.15000000000000002,2.8,0.0008333333333333334
0.15000000000000002,2.8874999999999997,0.012083333333333335
0.15000000000000002,2.9749999999999996,0.000625
0.15000000000000002,3.0625,0.07020833333333333
0.15000000000000002,3.15,0.017708333333333333
0.15000000000000002,3.2375,0.065
0.15000000000000002,3.3249999999999997,0.0020833333333333333
0.15000000000000002,3.4124999999999996,0.12541666666666668
0.15000000000000002,3.5,0.0175
0.2,0.0,0.0
0.2,0.0875,0.0
0.2,0.175,0.0
0.2,0.26249999999999996,0.0
0.2,0.35,0.0
0.2,0.4375,0.0
0.2,0.5249999999999999,0.0
0.2,0.6124999999999999,0.0
0.2,0.7,0.0
0.2,0.7875,0.0
0.2,0.875,0.0
0.2,0.9624999999999999,0.0
0.2,1.0499999999999998,0.0
0.2,1.1375,0.0
0.2,1.2249999999999999,0.0
0.2,1.3125,0.0
0.2,1.4,0.0
0.2,1.4874999999999998,0.0
0.2,1.575,0.0625
0.2,1.6624999999999999,0.00125
0.2,1.75,0.015625
0.2,1.8375,0.0
0.2,1.9249999999999998,0.0625
0.2,2.0124999999999997,0.064375
0.2,2.0999999999999996,0.0014583333333333334
0.2,2.1875,0.0027083333333333334
0.2,2.275,0.0625
0.2,2.3625,0.0625
0.2,2.4499999999999997,0.06375
0.2,2.5374999999999996,0.1875
0.2,2.625,0.011041666666666667
0.2,2.7125,0.0025
0.2,2.8,0.18916666666666665
0.2,2.8874999999999997,0.005208333333333333
0.2,2.9749999999999996,0.070625
0.2,3.0625,0.2808333333333334
0.2,3.15,0.19041666666666668
0.2,3.2375,0.198125
0.2,3.3249999999999997,0.07208333333333333
0.2,3.4124999999999996,0.06875
0.2,3.5,0.25416666666666665
0.25,0.0,0.0
0.25,0.0875,0.0
0.25,0.175,0.0
0.25,0.26249999999999996,0.0
0.25,0.35,0.0
0.25,0.4375,0.0
0.25,0.5249999999999999,0.0
0.25,0.6124999999999999,0.0
0.25,0.7,0.0
0.25,0.7875,0.0
0.25,0.875,0.0
0.25,0.9624999999999999,0.0
0.25,1.0499999999999998,0.0
0.25,1.1375,0.0
0.25,1.2249999999999999,0.0020833333333333333
0.25,1.3125,0.0
0.25,1.4,0.0
0.25,1.4874999999999998,0.048124999999999994
0.25,1.575,0.06395833333333334
0.25,1.6624999999999999,0.18875
0.25,1.75,0.0625
0.25,1.8375,0.064375
0.25,1.9249999999999998,0.0014583333333333334
0.25,2.0124999999999997,0.125
0.25,2.0999999999999996,0.18958333333333333
0.25,2.1875,0.065625
0.25,2.275,0.0675
0.25,2.3625,0.12979166666666667
0.25,2.4499999999999997,0.19541666666666666
0.25,2.5374999999999996,0.25354166666666667
0.25,2.625,0.27229166666666665
0.25,2.7125,0.016666666666666666
0.25,2.8,0.141875
0.25,2.8874999999999997,0.19208333333333336
0.25,2.9749999999999996,0.3235416666666666
0.25,3.0625,0.31604166666666667
0.25,3.15,0.37625
0.25,3.2375,0.18854166666666666
0.25,3.3249999999999997,0.43354166666666666
0.25,3.4124999999999996,0.37979166666666664
0.25,3.5,0.44833333333333336
0.30000000000000004,0.0,0.0
0.30000000000000004,0.0875,0.0
0.30000000000000004,0.175,0.0
0.30000000000000004,0.26249999999999996,0.0
0.30000000000000004,0.35,0.0
0.30000000000000004,0.4375,0.0
0.30000000000000004,0.5249999999999999,0.0
0.30000000000000004,0.6124999999999999,0.0
0.30000000000000004,0.7,0.0
0.30000000000000004,0.7875,0.0
0.30000000000000004,0.875,0.005833333333333334
0.30000000000000004,0.9624999999999999,0.0
0.30000000000000004,1.0499999999999998,0.0
0.30000000000000004,1.1375,0.0
0.30000000000000004,1.2249999999999999,0.004166666666666667
0.30000000000000004,1.3125,0.0625
0.30000000000000004,1.4,0.0
0.30000000000000004,1.4874999999999998,0.0625
0.30000000000000004,1.575,0.0022916666666666667
0.30000000000000004,1.6624999999999999,0.07104166666666667
0.30000000000000004,1.75,0.09041666666666667
0.30000000000000004,1.8375,0.0
0.30000000000000004,1.9249999999999998,0.25083333333333335
0.30000000000000004,2.0124999999999997,0.06458333333333334
0.30000000000000004,2.0999999999999996,0.014375000000000002
0.30000000000000004,2.1875,0.074375
0.30000000000000004,2.275,0.188125
0.30000000000000004,2.3625,0.27958333333333335
0.30000000000000004,2.4499999999999997,0.25687499999999996
0.30000000000000004,2.5374999999999996,0.43999999999999995
0.30000000000000004,2.625,0.3185416666666667
0.30000000000000004,2.7125,0.019375
0.30000000000000004,2.8,0.32708333333333334
0.30000000000000004,2.8874999999999997,0.38354166666666667
0.30000000000000004,2.9749999999999996,0.32729166666666665
0.30000000000000004,3.0625,0.46270833333333333
0.30000000000000004,3.15,0.5812499999999999
0.30000000000000004,3.2375,0.39625
0.30000000000000004,3.3249999999999997,0.38395833333333335
0.30000000000000004,3.4124999999999996,0.5679166666666666
0.30000000000000004,3.5,0.8204166666666667
0.35000000000000003,0.0,0.0
0.35000000000000003,0.0875,0.0
0.35000000000000003,0.175,0.0
0.35000000000000003,0.26249999999999996,0.0
0.35000000000000003,0.35,0.0
0.35000000000000003,0.4375,0.0
0.35000000000000003,0.5249999999999999,0.0
0.35000000000000003,0.6124999999999999,0.0
0.35000000000000003,0.7,0.0
0.35000000000000003,0.7875,0.0
0.35000000000000003,0.875,0.0
0.35000000000000003,0.9624999999999999,0.0625
0.35000000000000003,1.0499999999999998,0.0625
0.35000000000000003,1.1375,0.0016666666666666668
0.35000000000000003,1.2249999999999999,0.011041666666666667
0.35000000000000003,1.3125,0.0625
0.35000000000000003,1.4,0.07958333333333333
0.35000000000000003,1.4874999999999998,0.0625
0.35000000000000003,1.575,0.06770833333333334
0.35000000000000003,1.6624999999999999,0.065625
0.35000000000000003,1.75,0.31395833333333334
0.35000000000000003,1.8375,0.15979166666666667
0.35000000000000003,1.9249999999999998,0.19416666666666665
0.35000000000000003,2.0124999999999997,0.41708333333333336
0.35000000000000003,2.0999999999999996,0.255625
0.35000000000000003,2.1875,0.25875000000000004
0.35000000000000003,2.275,0.32125000000000004
0.35000000000000003,2.3625,0.3179166666666667
0.35000000000000003,2.4499999999999997,0.25
0.35000000000000003,2.5374999999999996,0.6312500000000001
0.35000000000000003,2.625,0.45291666666666663
0.35000000000000003,2.7125,0.26208333333333333
0.35000000000000003,2.8,0.6033333333333333
0.35000000000000003,2.8874999999999997,0.5104166666666667
0.35000000000000003,2.9749999999999996,0.6341666666666667
0.35000000000000003,3.0625,0.5183333333333333
0.35000000000000003,3.15,0.6922916666666666
0.35000000000000003,3.2375,0.575625
0.35000000000000003,3.3249999999999997,0.6337499999999999
0.35000000000000003,3.4124999999999996,0.6966666666666667
0.35000000000000003,3.5,0.4833333333333333
0.4,0.0,0.0
0.4,0.0875,0.0
0.4,0.175,0.0
0.4,0.26249999999999996,0.0
0.4,0.35,0.0
0.4,0.4375,0.0
0.4,0.5249999999999999,0.0
0.4,0.6124999999999999,0.0
0.4,0.7,0.0
0.4,0.7875,0.0
0.4,0.875,0.0
0.4,0.9624999999999999,0.0625
0.4,1.0499999999999998,0.0625
0.4,1.1375,0.0625
0.4,1.2249999999999999,0.0625
0.4,1.3125,0.06541666666666666
0.4,1.4,0.10187500000000001
0.4,1.4874999999999998,0.31645833333333334
0.4,1.575,0.3177083333333333
0.4,1.6624999999999999,0.25
0.4,1.75,0.32208333333333333
0.4,1.8375,0.594375
0.4,1.9249999999999998,0.6287499999999999
0.4,2.0124999999999997,0.3420833333333333
0.4,2.0999999999999996,0.3795833333333333
0.4,2.1875,0.3414583333333333
0.4,2.275,0.43562500000000004
0.4,2.3625,0.45458333333333334
0.4,2.4499999999999997,0.7133333333333333
0.4,2.5374999999999996,0.52
0.4,2.625,0.6364583333333333
0.4,2.7125,0.6964583333333333
0.4,2.8,0.6643749999999999
0.4,2.8874999999999997,0.6397916666666668
0.4,2.9749999999999996,0.7085416666666666
0.4,3.0625,0.72375
0.4,3.15,0.8835416666666667
0.4,3.2375,0.5958333333333333
0.4,3.3249999999999997,0.76
0.4,3.4124999999999996,0.7166666666666667
0.4,3.5,0.8229166666666667
0.45,0.0,0.0
0.45,0.0875,0.0
0.45,0.175,0.0
0.45,0.26249999999999996,0.0
0.45,0.35,0.0
0.45,0.4375,0.0
0.45,0.5249999999999999,0.0
0.45,0.6124999999999999,0.0
0.45,0.7,0.0
0.45,0.7875,0.125
0.45,0.875,0.005416666666666667
0.45,0.9624999999999999,0.13604166666666667
0.45,1.0499999999999998,0.125
0.45,1.1375,0.064375
0.45,1.2249999999999999,0.18729166666666666
0.45,1.3125,0.19083333333333333
0.45,1.4,0.06479166666666666
0.45,1.4874999999999998,0.37333333333333335
0.45,1.575,0.37125
0.45,1.6624999999999999,0.28875
0.45,1.75,0.39104166666666673
0.45,1.8375,0.75
