run_id,t,X,I,X0,I0
90,30,0.0,0.1835161431712116,0.1,0.9
90,31,0.0,0.174340336012651,0.1,0.9
90,32,0.0,0.16562331921201845,0.1,0.9
90,33,0.0,0.15734215325141754,0.1,0.9
90,34,0.0,0.14947504558884667,0.1,0.9
90,35,0.0,0.14200129330940434,0.1,0.9
90,36,0.0,0.1349012286439341,0.1,0.9
90,37,0.0,0.1281561672117374,0.1,0.9
90,38,0.0,0.12174835885115053,0.1,0.9
90,39,0.0,0.115660940908593,0.1,0.9
90,40,0.0,0.10987789386316335,0.1,0.9
90,41,0.0,0.10438399917000518,0.1,0.9
90,42,0.0,0.09916479921150492,0.1,0.9
90,43,0.0,0.09420655925092968,0.1,0.9
90,44,0.0,0.08949623128838319,0.1,0.9
90,45,0.0,0.08502141972396403,0.1,0.9
90,46,0.0,0.08077034873776583,0.1,0.9
90,47,0.0,0.07673183130087753,0.1,0.9
90,48,0.0,0.07289523973583366,0.1,0.9
90,49,0.0,0.06925047774904197,0.1,0.9
91,0,0.02,0.856,0.2,0.9
91,1,0.0,0.8131999999999999,0.2,0.9
91,2,0.0,0.7725399999999999,0.2,0.9
91,3,0.0,0.7339129999999999,0.2,0.9
91,4,0.0,0.69721735,0.2,0.9
91,5,0.0,0.6623564825,0.2,0.9
91,6,0.0,0.629238658375,0.2,0.9
91,7,0.0,0.59777672545625,0.2,0.9
91,8,0.0,0.5678878891834376,0.2,0.9
91,9,0.0,0.5394934947242657,0.2,0.9
91,10,0.0,0.5125188199880524,0.2,0.9
91,11,0.0,0.48689287898864975,0.2,0.9
91,12,0.0,0.46254823503921727,0.2,0.9
91,13,0.0,0.4394208232872564,0.2,0.9
91,14,0.0,0.4174497821228936,0.2,0.9
91,15,0.0,0.3965772930167489,0.2,0.9
91,16,0.0,0.37674842836591144,0.2,0.9
91,17,0.0,0.35791100694761585,0.2,0.9
91,18,0.0,0.3400154566002351,0.2,0.9
91,19,0.0,0.3230146837702233,0.2,0.9
91,20,0.0,0.30686394958171215,0.2,0.9
91,21,0.0,0.2915207521026265,0.2,0.9
91,22,0.0,0.2769447144974952,0.2,0.9
91,23,0.0,0.2630974787726204,0.2,0.9
91,24,0.0,0.2499426048339894,0.2,0.9
91,25,0.0,0.23744547459228993,0.2,0.9
91,26,0.0,0.22557320086267543,0.2,0.9
91,27,0.0,0.21429454081954166,0.2,0.9
91,28,0.0,0.20357981377856457,0.2,0.9
91,29,0.0,0.19340082308963635,0.2,0.9
91,30,0.0,0.18373078193515455,0.2,0.9
91,31,0.0,0.1745442428383968,0.2,0.9
91,32,0.0,0.16581703069647696,0.2,0.9
91,33,0.0,0.15752617916165312,0.2,0.9
91,34,0.0,0.14964987020357046,0.2,0.9
91,35,0.0,0.14216737669339194,0.2,0.9
91,36,0.0,0.13505900785872235,0.2,0.9
91,37,0.0,0.12830605746578624,0.2,0.9
91,38,0.0,0.12189075459249693,0.2,0.9
91,39,0.0,0.11579621686287209,0.2,0.9
91,40,0.0,0.11000640601972848,0.2,0.9
91,41,0.0,0.10450608571874206,0.2,0.9
91,42,0.0,0.09928078143280496,0.2,0.9
91,43,0.0,0.0943167423611647,0.2,0.9
91,44,0.0,0.08960090524310647,0.2,0.9
91,45,0.0,0.08512085998095115,0.2,0.9
91,46,0.0,0.08086481698190359,0.2,0.9
91,47,0.0,0.0768215761328084,0.2,0.9
91,48,0.0,0.07298049732616799,0.2,0.9
91,49,0.0,0.06933147245985959,0.2,0.9
92,0,0.195,0.86475,0.30000000000000004,0.9
92,1,0.31,0.8370125,0.30000000000000004,0.9
92,2,0.395,0.8149118750000001,0.30000000000000004,0.9
92,3,0.6075,0.80454128125,0.30000000000000004,0.9
92,4,0.875,0.8080642171875,0.30000000000000004,0.9
92,5,0.9825,0.816786006328125,0.30000000000000004,0.9
92,6,1.0,0.8259467060117188,0.30000000000000004,0.9
92,7,1.0,0.8346493707111329,0.30000000000000004,0.9
92,8,1.0,0.8429169021755762,0.30000000000000004,0.9
92,9,1.0,0.8507710570667975,0.30000000000000004,0.9
92,10,1.0,0.8582325042134575,0.30000000000000004,0.9
92,11,1.0,0.8653208790027846,0.30000000000000004,0.9
92,12,1.0,0.8720548350526454,0.30000000000000004,0.9
92,13,1.0,0.8784520933000131,0.30000000000000004,0.9
92,14,1.0,0.8845294886350124,0.30000000000000004,0.9
92,15,1.0,0.8903030142032617,0.30000000000000004,0.9
92,16,1.0,0.8957878634930987,0.30000000000000004,0.9
92,17,1.0,0.9009984703184437,0.30000000000000004,0.9
92,18,1.0,0.9059485468025216,0.30000000000000004,0.9
92,19,1.0,0.9106511194623955,0.30000000000000004,0.9
92,20,1.0,0.9151185634892758,0.30000000000000004,0.9
92,21,1.0,0.919362635314812,0.30000000000000004,0.9
92,22,1.0,0.9233945035490714,0.30000000000000004,0.9
92,23,1.0,0.9272247783716178,0.30000000000000004,0.9
92,24,1.0,0.9308635394530369,0.30000000000000004,0.9
92,25,1.0,0.9343203624803851,0.30000000000000004,0.9
92,26,1.0,0.9376043443563659,0.30000000000000004,0.9
92,27,1.0,0.9407241271385476,0.30000000000000004,0.9
92,28,1.0,0.9436879207816202,0.30000000000000004,0.9
92,29,1.0,0.9465035247425392,0.30000000000000004,0.9
92,30,1.0,0.9491783485054123,0.30000000000000004,0.9
92,31,1.0,0.9517194310801417,0.30000000000000004,0.9
92,32,1.0,0.9541334595261346,0.30000000000000004,0.9
92,33,1.0,0.9564267865498278,0.30000000000000004,0.9
92,34,1.0,0.9586054472223364,0.30000000000000004,0.9
92,35,1.0,0.9606751748612196,0.30000000000000004,0.9
92,36,1.0,0.9626414161181586,0.30000000000000004,0.9
92,37,1.0,0.9645093453122506,0.30000000000000004,0.9
92,38,1.0,0.9662838780466381,0.30000000000000004,0.9
92,39,1.0,0.9679696841443062,0.30000000000000004,0.9
92,40,1.0,0.9695711999370908,0.30000000000000004,0.9
92,41,1.0,0.9710926399402363,0.30000000000000004,0.9
92,42,1.0,0.9725380079432245,0.30000000000000004,0.9
92,43,1.0,0.9739111075460634,0.30000000000000004,0.9
92,44,1.0,0.9752155521687602,0.30000000000000004,0.9
92,45,1.0,0.9764547745603223,0.30000000000000004,0.9
92,46,1.0,0.9776320358323062,0.30000000000000004,0.9
92,47,1.0,0.9787504340406908,0.30000000000000004,0.9
92,48,1.0,0.9798129123386563,0.30000000000000004,0.9
92,49,1.0,0.9808222667217235,0.30000000000000004,0.9
93,0,0.53,0.8815000000000001,0.4,0.9
93,1,0.8825,0.8815500000000001,0.4,0.9
93,2,0.9925,0.8870975000000001,0.4,0.9
93,3,0.9975,0.8926176250000001,0.4,0.9
93,4,0.9975,0.89786174375,0.4,0.9
93,5,0.9975,0.9028436565625001,0.4,0.9
93,6,0.9975,0.9075764737343751,0.4,0.9
93,7,0.9975,0.9120726500476564,0.4,0.9
93,8,0.9975,0.9163440175452735,0.4,0.9
93,9,0.9975,0.9204018166680098,0.4,0.9
93,10,0.9975,0.9242567258346093,0.4,0.9
93,11,0.9975,0.9279188895428788,0.4,0.9
93,12,0.9975,0.9313979450657349,0.4,0.9
