X0,I0,X_final
0.2,0.0,0.22250000000000006
0.2,0.05,0.16775
0.2,0.1,0.11762499999999998
0.2,0.15000000000000002,0.06675
0.2,0.2,0.06675
0.2,0.25,0.010750000000000001
0.2,0.30000000000000004,0.06487500000000002
0.2,0.35000000000000003,0.21800000000000003
0.2,0.4,0.31262500000000004
0.2,0.45,0.07125
0.2,0.5,0.132
0.2,0.55,0.17049999999999998
0.2,0.6000000000000001,0.11224999999999999
0.2,0.65,0.17024999999999998
0.2,0.7000000000000001,0.077125
0.2,0.75,0.005875
0.2,0.8,0.1525
0.2,0.8500000000000001,0.15037499999999998
0.2,0.9,0.110625
0.2,0.9500000000000001,0.10062499999999999
0.2,1.0,0.00075
0.25,0.0,0.52075
0.25,0.05,0.51
0.25,0.1,0.61675
0.25,0.15000000000000002,0.569
0.25,0.2,0.534875
0.25,0.25,0.4688749999999999
0.25,0.30000000000000004,0.517875
0.25,0.35000000000000003,0.433875
0.25,0.4,0.42037500000000005
0.25,0.45,0.275875
0.25,0.5,0.5225000000000001
0.25,0.55,0.38487499999999997
0.25,0.6000000000000001,0.468125
0.25,0.65,0.37350000000000005
0.25,0.7000000000000001,0.381625
0.25,0.75,0.4065
0.25,0.8,0.258
0.25,0.8500000000000001,0.30162500000000003
0.25,0.9,0.45074999999999993
0.25,0.9500000000000001,0.3995
0.25,1.0,0.15025
0.30000000000000004,0.0,0.8647500000000001
0.30000000000000004,0.05,0.86025
0.30000000000000004,0.1,0.9065000000000001
0.30000000000000004,0.15000000000000002,0.7655000000000001
0.30000000000000004,0.2,0.8095000000000001
0.30000000000000004,0.25,0.7653749999999999
0.30000000000000004,0.30000000000000004,0.8546250000000001
0.30000000000000004,0.35000000000000003,0.858625
0.30000000000000004,0.4,0.7738750000000001
0.30000000000000004,0.45,0.9566250000000002
0.30000000000000004,0.5,0.8043750000000001
0.30000000000000004,0.55,0.8080000000000002
0.30000000000000004,0.6000000000000001,0.9027499999999999
0.30000000000000004,0.65,0.9076249999999998
0.30000000000000004,0.7000000000000001,0.859
0.30000000000000004,0.75,0.5675
0.30000000000000004,0.8,0.8985
0.30000000000000004,0.8500000000000001,0.753625
0.30000000000000004,0.9,0.59925
0.30000000000000004,0.9500000000000001,0.6485000000000001
0.30000000000000004,1.0,0.649
0.35000000000000003,0.0,0.998625
0.35000000000000003,0.05,0.9981250000000002
0.35000000000000003,0.1,0.9984999999999999
0.35000000000000003,0.15000000000000002,0.9994999999999999
0.35000000000000003,0.2,0.9983749999999999
0.35000000000000003,0.25,0.9981249999999999
0.35000000000000003,0.30000000000000004,0.959125
0.35000000000000003,0.35000000000000003,0.9977499999999999
0.35000000000000003,0.4,0.9988750000000002
0.35000000000000003,0.45,0.9572499999999999
0.35000000000000003,0.5,0.9986249999999999
0.35000000000000003,0.55,0.904875
0.35000000000000003,0.6000000000000001,0.998375
0.35000000000000003,0.65,0.9978750000000002
0.35000000000000003,0.7000000000000001,0.998625
0.35000000000000003,0.75,0.9484999999999999
0.35000000000000003,0.8,0.998625
0.35000000000000003,0.8500000000000001,0.9981249999999999
0.35000000000000003,0.9,0.9480000000000001
0.35000000000000003,0.9500000000000001,0.9986249999999999
0.35000000000000003,1.0,0.948625
0.4,0.0,0.9987499999999999
0.4,0.05,0.9988750000000002
0.4,0.1,0.9984999999999999
0.4,0.15000000000000002,0.9984999999999999
0.4,0.2,0.998875
0.4,0.25,0.998
0.4,0.30000000000000004,0.998875
0.4,0.35000000000000003,0.9981250000000002
0.4,0.4,0.9977499999999999
0.4,0.45,0.999
0.4,0.5,0.9991249999999999
0.4,0.55,0.998875
0.4,0.6000000000000001,0.9971249999999999
0.4,0.65,0.9987499999999999
0.4,0.7000000000000001,0.999
0.4,0.75,0.99925
0.4,0.8,0.99825
0.4,0.8500000000000001,0.9983749999999999
0.4,0.9,0.99875
0.4,0.9500000000000001,0.9987499999999999
0.4,1.0,0.9986250000000002
0.45,0.0,0.9986249999999999
0.45,0.05,0.9976249999999999
0.45,0.1,0.998875
0.45,0.15000000000000002,0.99925
0.45,0.2,0.9984999999999999
0.45,0.25,0.999
0.45,0.30000000000000004,0.999
0.45,0.35000000000000003,0.9987499999999999
0.45,0.4,0.998375
0.45,0.45,0.9982500000000002
0.45,0.5,0.9994999999999999
0.45,0.55,0.9984999999999999
0.45,0.6000000000000001,0.9983749999999999
0.45,0.65,0.998375
0.45,0.7000000000000001,0.998625
0.45,0.75,0.9983749999999999
0.45,0.8,0.998625
0.45,0.8500000000000001,0.9987499999999999
0.45,0.9,0.9984999999999997
0.45,0.9500000000000001,0.9991249999999999
0.45,1.0,0.9984999999999999
0.5,0.0,0.9984999999999999
0.5,0.05,0.9991249999999999
0.5,0.1,0.999
0.5,0.15000000000000002,0.998
0.5,0.2,0.9991249999999999
0.5,0.25,0.998
0.5,0.30000000000000004,0.998875
0.5,0.35000000000000003,0.99925
0.5,0.4,0.9982499999999999
0.5,0.45,0.999
0.5,0.5,0.9986249999999999
0.5,0.55,0.9987499999999999
0.5,0.6000000000000001,0.9984999999999999
0.5,0.65,0.9991249999999999
0.5,0.7000000000000001,0.9984999999999997
0.5,0.75,0.9985000000000002
0.5,0.8,0.9987499999999999
0.5,0.8500000000000001,0.999
